"Date","Price","Open","High","Low","Change %"
"Feb 20, 2019","1.3051","1.3061","1.3110","1.3011","-0.10%"
"Feb 19, 2019","1.3064","1.2922","1.3075","1.2895","1.08%"
"Feb 18, 2019","1.2924","1.2893","1.2941","1.2892","0.15%"
"Feb 17, 2019","1.2904","1.2896","1.2934","1.2891","0.10%"
"Feb 15, 2019","1.2891","1.2808","1.2899","1.2784","0.61%"
"Feb 14, 2019","1.2813","1.2846","1.2879","1.2772","-0.26%"
"Feb 13, 2019","1.2846","1.2893","1.2959","1.2845","-0.36%"
"Feb 12, 2019","1.2892","1.2859","1.2911","1.2832","0.32%"
"Feb 11, 2019","1.2851","1.2950","1.2957","1.2845","-0.66%"
"Feb 10, 2019","1.2937","1.2945","1.2955","1.2927","-0.09%"
"Feb 08, 2019","1.2948","1.2953","1.2976","1.2920","-0.05%"
"Feb 07, 2019","1.2955","1.2934","1.2997","1.2854","0.16%"
"Feb 06, 2019","1.2934","1.2949","1.2981","1.2925","-0.08%"
"Feb 05, 2019","1.2944","1.3039","1.3056","1.2924","-0.71%"
"Feb 04, 2019","1.3037","1.3085","1.3105","1.3029","-0.31%"
"Feb 03, 2019","1.3077","1.3090","1.3090","1.3063","-0.07%"
"Feb 01, 2019","1.3086","1.3108","1.3116","1.3043","-0.12%"
"Jan 31, 2019","1.3102","1.3116","1.3162","1.3098","-0.11%"
"Jan 30, 2019","1.3116","1.3064","1.3146","1.3052","0.36%"
"Jan 29, 2019","1.3069","1.3169","1.3200","1.3057","-0.72%"
"Jan 28, 2019","1.3164","1.3195","1.3214","1.3137","-0.33%"
"Jan 27, 2019","1.3207","1.3202","1.3214","1.3169","0.03%"
"Jan 25, 2019","1.3203","1.3065","1.3218","1.3055","1.05%"
"Jan 24, 2019","1.3066","1.3068","1.3096","1.3011","-0.03%"
"Jan 23, 2019","1.3070","1.2958","1.3082","1.2942","0.86%"
"Jan 22, 2019","1.2958","1.2890","1.2976","1.2854","0.50%"
"Jan 21, 2019","1.2893","1.2885","1.2913","1.2831","0.32%"
"Jan 20, 2019","1.2852","1.2882","1.2904","1.2849","-0.18%"
"Jan 18, 2019","1.2875","1.2986","1.2995","1.2856","-0.86%"
"Jan 17, 2019","1.2987","1.2886","1.3002","1.2833","0.81%"
"Jan 16, 2019","1.2883","1.2860","1.2898","1.2825","0.18%"
"Jan 15, 2019","1.2860","1.2862","1.2917","1.2671","-0.04%"
"Jan 14, 2019","1.2865","1.2849","1.2931","1.2817","0.13%"
"Jan 13, 2019","1.2849","1.2852","1.2865","1.2838","0.04%"
"Jan 11, 2019","1.2843","1.2757","1.2867","1.2710","0.74%"
"Jan 10, 2019","1.2749","1.2789","1.2803","1.2728","-0.32%"
"Jan 09, 2019","1.2790","1.2718","1.2806","1.2712","0.56%"
"Jan 08, 2019","1.2719","1.2780","1.2798","1.2707","-0.48%"
"Jan 07, 2019","1.2780","1.2730","1.2789","1.2717","0.38%"
"Jan 06, 2019","1.2732","1.2730","1.2741","1.2718","0.03%"
"Jan 04, 2019","1.2728","1.2629","1.2746","1.2616","0.75%"
"Jan 03, 2019","1.2633","1.2606","1.2651","1.2438","0.18%"
"Jan 02, 2019","1.2610","1.2743","1.2776","1.2582","-1.11%"
"Jan 01, 2019","1.2752","1.2760","1.2764","1.2725","-0.05%"
"Dec 31, 2018","1.2759","1.2683","1.2816","1.2680","0.54%"
"Dec 30, 2018","1.2690","1.2700","1.2704","1.2689","-0.13%"
"Dec 28, 2018","1.2707","1.2644","1.2712","1.2635","0.50%"
"Dec 27, 2018","1.2644","1.2632","1.2676","1.2616","0.08%"
"Dec 26, 2018","1.2634","1.2675","1.2721","1.2631","-0.42%"
"Dec 25, 2018","1.2687","1.2726","1.2730","1.2666","-0.29%"
"Dec 24, 2018","1.2724","1.2652","1.2744","1.2630","0.58%"
"Dec 23, 2018","1.2651","1.2647","1.2651","1.2641","0.16%"
"Dec 21, 2018","1.2631","1.2658","1.2698","1.2617","-0.21%"
